Variable;Cantidad
AAPELPAZ;178
AARCH_SGJM;8
AARCHADOL;39
AARCHADUA;1
AARCHPAZ;180
AARCHPEN;57
ADOLCSENT;4
ADOLSSENT;4
ADUCON;8
AI;114
AI_SGJM;8
AIADOL2;35
AIADOLPAZ;48
AIAINCONST;1
AICASA_total;1
AICASACIV;1
AICASAFAM;1
AICASALAB;1
AICASAPEN;1
AICAUDIPLO;1
AICHEQ;6
AICHEQADOL;35
AICHEQPEN;48
AICONTCOMP;1
AIEINCONST;1
AIEJECSENTEXT;1
AIFAL;47
AIFALJDO;45
AIFALSEC;45
AIINCOSTOF;1
AIJDOADOL;48
AIJDOPEN;48
AIOTROS;9
AIPAZ117;176
AIPAZADO;171
AIPEN;251
AIPEN2;48
AIPENPAZ;247
AIPENPAZREMLTDO;179
AIRECQDC;1
AIRECQDEI;1
AIRECREV;1
AISEX;2
AITOT;69
AIVISITAS;9
ARCHFAL;45
ARCHI;8
AREFAMVD;51
AREMT_SGJM;10
AREMTADOL;4
AREMTADUA;1
AREMTPEN;33
AREPEVD;63
ARLDOCNA;54
AUDCOMP;100
AUDCOMP_SGJM;8
AUDCONCI_SGJM;8
AUDLECT;100
AUDLECT_SGJM;8
AUDNOT;100
AUDOTR;100
AUDOTR_SGJM;8
AUDPREL_0;8
AUDPREL_SGJM;8
AUDPRO;100
AUDR_2;95
AUDR_2015_2;98
AUDR_SGJM;8
AUDTPAR;100
AUDTTOT;103
AUDUNI_SGJM;8
AUDVOL;100
AUDVOL_SGJM;8
CEDULON_SGJM;8
COMDNA;1
CUMINI;38
DECEM;24
DECEM_SGJM;8
DECTR;250
DECTR_SCJ;1
EXCUM;214
EXCUM_SGJM;8
EXPEJECTR;4
EXPEJECTRADOL;47
EXPEJECTRPE;50
EXPTR_31/12/15;104
EXPTR_31/12/16;104
EXPTR_31/12/16_SGJM;8
EXPTR_CGPPAZ;181
EXPTR_CNA;58
EXPTR_FAL;49
EXPTR_OTRPAZ;172
EXPTR_TAP;17
EXPTR_VD;57
EXREC_SGJM;8
INDINI;48
INFRINICIND;48
INFRINISIND;44
INIJDO;167
INIORDA;167
INIORDA_SGJM;10
INISD;167
INISD_SGJM;10
LIQPENA;2
NOTELEC;17
NOTIF;9
OFILIB_SGJM;8
OFILIBSGJM;2
OFNEJ;2
OFSICO;2
PROV;272
PROVADOL;4
PROVPRES;22
PROVSUM;22
RECAP_18.895;2
RECEJEC;2
REM_SCJ;2
SENDEF18895;46
SENDEF_SCJ;1
SENDEF_SGJM;8
SENDEFADOL;4
SENDEFADU;1
SENDEFCIV;57
SENDEFCONC;51
SENDEFCONT;51
SENDEFFAL;45
SENDEFFAM;65
SENDEFLAB;59
SENDEFPAZ;180
SENINT;122
SENINT_SGJM;8
SENTINT;1
SUMINICPRE;48
SUMINISPRE;46
